标题,详情页,发布时间,up博主,图片,观看次数
【金泰梨】这就是女明星的护脸方式吗 (*≧▽≦) 乳：我真的thank you！咱能拍轻点吗(ﾉ｀⊿´)ﾉ,https://www.bilibili.com/video/BV1dr4y1t7qz?from=search&seid=8940341511475960939,2022-05-13,哈奔儿一个,https://i2.hdslb.com/bfs/archive/d7cc5655fb32b4b955621384f6f81716bca97943.jpg@400w_250h_1c.webp,1.7万
剧里对女主冷冰冰  剧外却是姐姐的小可爱    金泰梨×苞娜,https://www.bilibili.com/video/BV1SF41147Nq?from=search&seid=8940341511475960939,2022-03-14,HXN古月,https://i2.hdslb.com/bfs/archive/bc174a8344ad2345bc3991ebf7544ef1f01fd248.jpg@400w_250h_1c.webp,2.7万
【橘】女主把男主处成闺蜜，把女二处成恋人，金泰梨，不愧是你！‖金泰梨x苞娜‖一个浪漫热血笨蛋“爱慕”击剑天才的故事~cut1,https://www.bilibili.com/video/BV1br4y1676i?from=search&seid=8940341511475960939,2022-02-16,不胜酒力贪杯者,https://i2.hdslb.com/bfs/archive/e717a41e9e9256bcb0064e9171a237c557ab4c4b.jpg@400w_250h_1c.webp,3.1万
金泰梨 李泰容 世界上的另一个我,https://www.bilibili.com/video/BV1e44y1A7sh?from=search&seid=8940341511475960939,2022-03-28,中本悠太可爱了,https://i1.hdslb.com/bfs/archive/463693f7bfb3f313bd4590de48418bc68947e20a.jpg@400w_250h_1c.webp,2.3万
正经不过三秒，红毯也敢笑场啊你～～铁憨憨～～【金泰梨｜百想艺术大赏】,https://www.bilibili.com/video/BV1jY4y1C7Qk?from=search&seid=8940341511475960939,2022-05-06,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/6e4e2830e8f3d3a71c8a00ace27e5cacb9bd330e.jpg@400w_250h_1c.webp,7928
金泰梨本人比罗希度更甜啊！！,https://www.bilibili.com/video/BV1XT4y1h7VH?from=search&seid=8940341511475960939,2022-04-19,阿西你帮我取个名吧,https://i0.hdslb.com/bfs/archive/1d0beecea68a387e9c941aba7f080e63d352843f.jpg@400w_250h_1c.webp,2.6万
天知道我当年看这两个片段看了多少遍…iu戴眼镜的样子真的很绝！有生之年我能看到我追的李知恩和金泰梨同框的画面吗(T＿T)拜托了(T＿T),https://www.bilibili.com/video/BV1xR4y1K7HJ?from=search&seid=8940341511475960939,2022-04-21,阿西你帮我取个名吧,https://i1.hdslb.com/bfs/archive/a9be75dc4f9a55e0c795e5375f9c6c51ab189fbf.jpg@400w_250h_1c.webp,3.0万
【中字采访】《Mr. Sunshine_阳光先生》李秉宪金泰梨柳演锡金敏贞卞约汉,https://www.bilibili.com/video/BV1UW411m76h?from=search&seid=8940341511475960939,2018-10-02,August_Joey,https://i0.hdslb.com/bfs/archive/9749923caebf24b76aea5ccaf176d087f2d9c94b.png@400w_250h_1c.webp,3.5万
爹系男友的宠溺合集 很难不心动吧家人们？【南柱赫×金泰梨 二十五二十一】,https://www.bilibili.com/video/BV1R341157s1?from=search&seid=8940341511475960939,2022-03-06,全网最花心女孩,https://i0.hdslb.com/bfs/archive/851eb753fca6dc619e39d87a43b8a246cf15995a.jpg@400w_250h_1c.webp,7.0万
金泰梨全汝彬欧尼的经济公司，美女贴贴，一起走花路,https://www.bilibili.com/video/BV1CY4y1p7ya?from=search&seid=8940341511475960939,2022-04-04,方大miao,https://i0.hdslb.com/bfs/archive/30762c332990d2c967f8adaad5c37136ad51790a.jpg@400w_250h_1c.webp,1.3万
【中字】【MMTG | 胜利号】 特别&quot;内向&quot;的金泰梨和胜利号的其他朋友们为什么会去宇宙呢？真的不是一个人能生活的世界啊？！[文明特快 EP.171],https://www.bilibili.com/video/BV1Bv4y1Z7N2?from=search&seid=8940341511475960939,2021-02-17,Purpose_K,https://i1.hdslb.com/bfs/archive/6d758d155704c83795de1761449cc11ae16f15ae.jpg@400w_250h_1c.webp,3.4万
【南柱赫×金泰梨】E14吻戏花絮,https://www.bilibili.com/video/BV1oY4y1s7D1?from=search&seid=8940341511475960939,2022-03-29,ZYOLI,https://i1.hdslb.com/bfs/archive/76fb956cb7982a3aaba83c056665444c90f1eeae.jpg@400w_250h_1c.webp,7261
“我们明明彼此那么相爱，最后为什么会这样”｜南柱赫✘金泰梨,https://www.bilibili.com/video/BV1qT4y1v79k?from=search&seid=8940341511475960939,2022-04-05,别打扰我l,https://i1.hdslb.com/bfs/archive/124f4179cf7258087f739a07a114192586c50046.jpg@400w_250h_1c.webp,1.2万
【金泰梨】现场reaction｜百想和小可爱一起看2521片段,https://www.bilibili.com/video/BV1Da411a7Hu?from=search&seid=8940341511475960939,2022-05-07,给我一个肉丸子,https://i2.hdslb.com/bfs/archive/dd947d70bd0f0c1d2c4b59c7339aa32fc8abb3f9.jpg@400w_250h_1c.webp,3.4万
【金泰梨】｜我们泰梨真的好社牛啊哈哈哈哈哈｜获得人气奖后和李俊昊的后台采访（中文高清）,https://www.bilibili.com/video/BV1sT4y167FV?from=search&seid=8940341511475960939,2022-05-07,给我一个肉丸子,https://i2.hdslb.com/bfs/archive/dc0ffce4056493ca1cc37952223313e13b376b22.jpg@400w_250h_1c.webp,27.3万
当你想成为不良少女 金泰梨 。二十五二十一,https://www.bilibili.com/video/BV1RP4y1w73f?from=search&seid=8940341511475960939,2022-02-14,影视古装剪辑,https://i0.hdslb.com/bfs/archive/709524ddb01cb823900d8410e874bbb323dbf29d.jpg@400w_250h_1c.webp,48.0万
【金泰梨】今晚百想见～愿双奖共举～,https://www.bilibili.com/video/BV1T5411d7z4?from=search&seid=8940341511475960939,2022-05-06,哈奔儿一个,https://i2.hdslb.com/bfs/archive/aa032126500f4c6d6dd6af9cf0fc39cf15452008.jpg@400w_250h_1c.webp,1565
金泰梨——“令我一见钟情的敏喜前辈”,https://www.bilibili.com/video/BV1do4y1f7o2?from=search&seid=8940341511475960939,2021-04-17,缱巷ll,https://i2.hdslb.com/bfs/archive/73c831c651b1e5378acaccc3404cad1afe812732.jpg@400w_250h_1c.webp,5.7万
金泰梨你为什么打个招呼都要和姐姐笑得那么开心？,https://www.bilibili.com/video/BV1JS4y1z7fT?from=search&seid=8940341511475960939,2022-05-22,失眠假扮王祖贤,https://i0.hdslb.com/bfs/archive/e0a67719b9872c60d0db476fd62df03c64bde60c.jpg@400w_250h_1c.webp,1093
姐姐跟着别人跑了，她一点也不慌，只是醋坛子打翻了百来缸！【二十五二十一/金泰梨x苞娜】,https://www.bilibili.com/video/BV1qq4y1x7vw?from=search&seid=1112927846900431974,2022-02-27,追剧上头的亚里士缺德,https://i0.hdslb.com/bfs/archive/e81409731dcf8da557784792dddd590b942ff13f.jpg@400w_250h_1c.webp,1.8万
“她是我贫瘠之地唯一的玫瑰”｜治愈搞笑女拯救落魄小王子｜终于是年上了！谁懂我心情【南柱赫×金泰梨｜二十五二十一】,https://www.bilibili.com/video/BV1Ca411k7LD?from=search&seid=1112927846900431974,2022-02-17,WENROU_D,https://i0.hdslb.com/bfs/archive/76687a634c622b99bbb66a46e4548622929731d1.jpg@400w_250h_1c.webp,1.3万
“论南韩姬圈女神金泰梨与TOMBOY的适配度有多高”｜反转魅力白切黑｜踩点混剪｜高帅,https://www.bilibili.com/video/BV1kZ4y1z7po?from=search&seid=1112927846900431974,2022-03-18,画圈圈的小水晶,https://i0.hdslb.com/bfs/archive/5c5f019826fe26a5e86d357aa1570eb7bd9cfce2.jpg@400w_250h_1c.webp,6561
这部剧的结局是主演本人都觉得离谱的程度【南柱赫x金泰梨】,https://www.bilibili.com/video/BV1J5411D7tr?from=search&seid=1112927846900431974,2022-04-05,四耶知秋,https://i1.hdslb.com/bfs/archive/f515076a85ccf6d6ce2edfc25bca78ec1c0596fd.jpg@400w_250h_1c.webp,6.3万
练击剑的女人能屈能伸，一天天的要被女主笑si，在搞笑的路上一去不复返 #金泰梨,https://www.bilibili.com/video/BV1zL4y1G7kD?from=search&seid=1112927846900431974,2022-02-21,艾弗布能,https://i0.hdslb.com/bfs/archive/8d2222618f574b67b9f6b033ae1bb219ec103b2e.jpg@400w_250h_1c.webp,6.2万
【金泰梨】金泰梨！你知道你走路是多么帅气吗！,https://www.bilibili.com/video/BV1CR4y1K79Y?from=search&seid=1112927846900431974,2022-04-27,哈奔儿一个,https://i2.hdslb.com/bfs/archive/fd19071b5f5ca0bc43b5d113f273be0168264ee0.jpg@400w_250h_1c.webp,5.2万
【金泰梨】【韩版小森林丨Little Forest】美食合辑,https://www.bilibili.com/video/BV16p411f7rY?from=search&seid=1112927846900431974,2018-05-09,無糖冰拿鐵,https://i2.hdslb.com/bfs/archive/7a8edb163e87fe2fded74125419c30f11a9b103c.jpg@400w_250h_1c.webp,7.9万
拽姐这个名字金泰梨必须拥有！！,https://www.bilibili.com/video/BV1x3411T7eP?from=search&seid=1112927846900431974,2022-04-18,阿西你帮我取个名吧,https://i1.hdslb.com/bfs/archive/eae7e0ee32ddbf736410f728c74a0073c44cebf8.jpg@400w_250h_1c.webp,2.2万
【金泰梨】别耽误她当运动员,https://www.bilibili.com/video/BV1XZ4y1B7Sm?from=search&seid=1112927846900431974,2022-03-27,desani_linn,https://i2.hdslb.com/bfs/archive/7cadf46f7c0dcd3b24b4a5ee603aebc4ca41c096.jpg@400w_250h_1c.webp,6536
二十五，二十一 | Ep.7-8 花絮 金泰梨|南柱赫|苞娜|崔显旭|李周明|tvN|韩剧|Netflix|网飞,https://www.bilibili.com/video/BV1EL4y1u7t3?from=search&seid=1112927846900431974,2022-03-09,可宇可宙,https://i1.hdslb.com/bfs/archive/54cbee46fab1f32686f836d274f6442f5b0b5e5d.jpg@400w_250h_1c.webp,7146
金泰梨真的是把热血少年给淋漓尽致地演绎了出来了啊！！！,https://www.bilibili.com/video/BV1yt4y1W7gD?from=search&seid=1112927846900431974,2022-05-22,阿西你帮我取个名吧,https://i0.hdslb.com/bfs/archive/26688ec6c36b1d2d872c6fa82f96de3c25eaf48d.jpg@400w_250h_1c.webp,368
金泰梨是有多喜欢美女贴贴ヾ(≧∪≦*)ノ〃,https://www.bilibili.com/video/BV11Y4y1b7rh?from=search&seid=1112927846900431974,2022-05-09,哈奔儿一个,https://i1.hdslb.com/bfs/archive/e6ed095b30b3a13d1c7be2003880dce3acbad7de.jpg@400w_250h_1c.webp,4275
【金泰梨 | 阳光先生】高爱信215秒心动瞬间,https://www.bilibili.com/video/BV127411S7NY?from=search&seid=1112927846900431974,2020-03-30,留一坨儿,https://i0.hdslb.com/bfs/archive/b2faca30d8cb93bdf8dbe77e8c6529b61eb7d444.jpg@400w_250h_1c.webp,6.2万
她表白失败哭的好大声，我笑的好大声哈哈哈哈哈哈！【金泰梨x苞娜】,https://www.bilibili.com/video/BV1cF411J7up?from=search&seid=1112927846900431974,2022-02-19,追剧上头的亚里士缺德,https://i0.hdslb.com/bfs/archive/e2225f85966f673bd50f0cfafcdfb1708cc0aa13.jpg@400w_250h_1c.webp,9.3万
南韩女神收割姬 ｜金泰梨 ｜ 高燃踩点百合向混剪 ｜ 小姐 ｜ 阳光先生 ｜ 二十五二十一 ｜ 橘里橘气,https://www.bilibili.com/video/BV1oP4y1g75S?from=search&seid=1112927846900431974,2022-03-13,画圈圈的小水晶,https://i0.hdslb.com/bfs/archive/ceb526278a70d45d6b796eed36b8280b38f9bc9d.jpg@400w_250h_1c.webp,1.6万
元气满满的少年感X金泰梨,https://www.bilibili.com/video/BV1fT4y1r7fQ?from=search&seid=1112927846900431974,2022-05-03,김태리ㅅ,https://i2.hdslb.com/bfs/archive/eca3cfabc94d3c6fdfde5a6758719db5df9651f5.jpg@400w_250h_1c.webp,1378
你咋老是不按套路出牌啊哈哈哈！大家都被你带跑偏了呀哈哈哈！【喜剧人｜百想艺术大赏｜金泰梨】,https://www.bilibili.com/video/BV15Y4y1r7zr?from=search&seid=1112927846900431974,2022-05-08,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/4352daf69079a09d53d23441f64afea825c4bc6a.jpg@400w_250h_1c.webp,5.1万
【金泰梨X南柱赫】花絮混剪|继续偷偷幸福吧白桃|二十五二十一,https://www.bilibili.com/video/BV1fL4y1L7Qu?from=search&seid=1112927846900431974,2022-04-06,一枚葡萄干_,https://i2.hdslb.com/bfs/archive/0851bcb59fa10fb5721ee4db2c068bd88243443f.jpg@400w_250h_1c.webp,6609
【小姐】 憨厚小偷与腹黑小姐的互相救赎 ︳金敏喜 金泰梨,https://www.bilibili.com/video/BV1at4y1W7HY?from=search&seid=1112927846900431974,2022-05-21,js_ng,https://i1.hdslb.com/bfs/archive/1864e470200943f4a94b4932fef8440a3508f0b9.jpg@400w_250h_1c.webp,4291
【南柱赫金泰梨】花絮 喊过cut还不松手，这不嗑能行吗,https://www.bilibili.com/video/BV1SL4y1j7fx?from=search&seid=1112927846900431974,2022-03-23,关于我65,https://i0.hdslb.com/bfs/archive/0ecc8f472c2b289d6fa8c0cb415fe5b8d0c5e5d2.jpg@400w_250h_1c.webp,1.3万
【金泰梨】好嗨的梨，哈哈哈哈，真的爱si这个女人了(｡&gt;∀&lt;｡),https://www.bilibili.com/video/BV1mY4y1r79X?from=search&seid=14870978686707893665,2022-05-15,哈奔儿一个,https://i1.hdslb.com/bfs/archive/37980450131e2ee8f21fb1886675e31c67760fa9.jpg@400w_250h_1c.webp,1266
【处处吻|金泰梨】一吻倾众生 梨姐slay,https://www.bilibili.com/video/BV1E7411u7qG?from=search&seid=14870978686707893665,2020-02-24,留一坨儿,https://i1.hdslb.com/bfs/archive/c21a1d2688bbf6469e52d09eca45af96205575f6.jpg@400w_250h_1c.webp,6.7万
抖人真的太会了，金泰梨好帅，你能想象这是罗希度吗,https://www.bilibili.com/video/BV1BU4y117bL?from=search&seid=14870978686707893665,2022-05-23,bili_28418509364,https://i1.hdslb.com/bfs/archive/0cb30016e5dfbf7c6114378f11d3b38f6de42e45.jpg@400w_250h_1c.webp,298
【金泰梨×南柱赫】合作广告,https://www.bilibili.com/video/BV1Ua411x7P3?from=search&seid=14870978686707893665,2022-03-28,芋圆芝芝,https://i1.hdslb.com/bfs/archive/caf481bcca794aee5d5429dacc51f94734731e91.png@400w_250h_1c.webp,1.8万
【金泰梨】你能不能不要那么可爱！,https://www.bilibili.com/video/BV1ML4y1c7xL?from=search&seid=14870978686707893665,2022-04-26,哈奔儿一个,https://i2.hdslb.com/bfs/archive/06598be0c3d830f8bfa9907bc0d976b188562b3a.jpg@400w_250h_1c.webp,2382
【金泰梨】好想念姐姐的机场秀～,https://www.bilibili.com/video/BV1j44y1G7zJ?from=search&seid=14870978686707893665,2022-04-20,哈奔儿一个,https://i2.hdslb.com/bfs/archive/df3db3547586f3026ee8ce0d79734507c3d119d7.jpg@400w_250h_1c.webp,3177
救命我太磕金泰梨了！32岁演18，大龄新人的逆袭人生!,https://www.bilibili.com/video/BV1PU4y1U7Xe?from=search&seid=14870978686707893665,2022-05-19,罗那那粉开心,https://i2.hdslb.com/bfs/archive/4cb704350580926ee5b63c2cf2a6b1960f2382de.jpg@400w_250h_1c.webp,1.4万
“可笑吧！！我们这么相爱，最后的结局却是分手”｜南柱赫✘金泰梨,https://www.bilibili.com/video/BV1544y1V72r?from=search&seid=14870978686707893665,2022-04-07,别打扰我l,https://i0.hdslb.com/bfs/archive/cf075101fe6c50fbad2bb93c5c4ef11868212630.jpg@400w_250h_1c.webp,3831
互相表白，同喝一杯水，裹在同一件衣服里！一般不磕真人cp的，但她俩实在太甜了！钓系温柔姐姐x聪慧直率妹妹【小姐｜大小金｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV1234y127Tu?from=search&seid=14870978686707893665,2022-02-02,追剧上头的亚里士缺德,https://i2.hdslb.com/bfs/archive/52c98c9181e1a15a620d089759a73c5f6e358cdd.jpg@400w_250h_1c.webp,14.8万
我好像磕到真的了！金泰梨说出拍亲密戏过程，哈哈又心酸又好笑！,https://www.bilibili.com/video/BV1rZ4y1m75r?from=search&seid=14870978686707893665,2022-04-03,九妹说事儿,https://i0.hdslb.com/bfs/archive/b3e958159bf2879c3879e974f557104c3751c217.jpg@400w_250h_1c.webp,2.6万
【第58届百想艺术大赏】TV部门最优秀演技赏  金泰梨 丨获奖感言视频,https://www.bilibili.com/video/BV13Y4y1C7UE?from=search&seid=14870978686707893665,2022-05-06,WB疯狂的贫道,https://i0.hdslb.com/bfs/archive/ed4683fadb36cd69903862ec9836ea1d46cf7119.jpg@400w_250h_1c.webp,3.0万
【金泰梨】小森林适配感,https://www.bilibili.com/video/BV1bS4y11793?from=search&seid=14870978686707893665,2022-04-08,机懵,https://i2.hdslb.com/bfs/archive/14d528ea7936b1071cb785f23b193159001bc9b1.jpg@400w_250h_1c.webp,9043
金泰梨：你给我坐下,https://www.bilibili.com/video/BV1yA4y1U7Mq?from=search&seid=14870978686707893665,2022-05-06,在日暮里浅眠,https://i1.hdslb.com/bfs/archive/fbd84798adb88fb3166571f3561d2e96e1e8dde4.jpg@400w_250h_1c.webp,1.3万
李知恩的歌+金泰梨的颜真的是神仙组合了~How Pay! 每天治愈你亿遍~,https://www.bilibili.com/video/BV1qF411g7RR?from=search&seid=14870978686707893665,2022-04-14,阿西你帮我取个名吧,https://i0.hdslb.com/bfs/archive/7afe380188b362b0b46c2fa7b65725b1da34fa86.jpg@400w_250h_1c.webp,2.0万
抖人反复笑话金泰梨被话筒吓到的神情哈哈哈哈哈哈我们百想视后不要面子的吗,https://www.bilibili.com/video/BV1oA4y1o7FG?from=search&seid=14870978686707893665,2022-05-24,bili_28418509364,https://i1.hdslb.com/bfs/archive/8f80ad068b4b55674f4f5020243fd754da52dc3f.jpg@400w_250h_1c.webp,350
【阳光先生】 名场面的诞生！东魅看着爱信的裙摆，伸出了手，爱信察觉质问东魅，东魅却死死抓住不放开！（金泰梨，柳演锡）,https://www.bilibili.com/video/BV1Ls411K7Qz?from=search&seid=14870978686707893665,2018-07-21,甜卡卡卡妃coffee,https://i1.hdslb.com/bfs/archive/8f28a17b524a32666630dd637bade14cb8ac00e3.jpg@400w_250h_1c.webp,17.8万
臭屁小孩 金泰梨 这只是一个击剑小天才而已 哈哈～,https://www.bilibili.com/video/BV1mg411d74n?from=search&seid=14870978686707893665,2022-05-23,梨的狸子,https://i2.hdslb.com/bfs/archive/5b3ddcf56bc0ff31b6387c9e4e38dbb4c4b3edee.jpg@400w_250h_1c.webp,570
【金泰梨】百想幕后｜wuli泰梨妥妥人间小太阳 真的好活跃哈哈哈哈哈哈,https://www.bilibili.com/video/BV1m44y1u7ny?from=search&seid=14870978686707893665,2022-05-08,给我一个肉丸子,https://i0.hdslb.com/bfs/archive/ee6c62c9ddb2dae7ea4af7dfd7ecc2f709fb388a.jpg@400w_250h_1c.webp,6955
“拜托！她可是姬圈天菜金泰梨诶”,https://www.bilibili.com/video/BV1bL4y1g7ko?from=search&seid=14870978686707893665,2022-02-24,_咬一口水蜜桃,https://i0.hdslb.com/bfs/archive/22c4facedca76013abc6229aac073b41906e9b11.jpg@400w_250h_1c.webp,6.2万
【南柱赫x金泰梨】  是谁磕疯了！！                                  花絮里才是她们的浪漫满屋！！！,https://www.bilibili.com/video/BV1UT4y1Y7it?from=search&seid=14870978686707893665,2022-04-08,拉拉啦ll,https://i2.hdslb.com/bfs/archive/57cb2cf4337ff2e9e96d72c32b8aaf0787a821e3.jpg@400w_250h_1c.webp,1.4万
苞娜，你这眼神真算不上是清白哦[偷笑] 橘里橘气~ 金泰梨x金知妍,https://www.bilibili.com/video/BV1ZY411j791?from=search&seid=17320351048388001858,2022-04-16,阿西你帮我取个名吧,https://i2.hdslb.com/bfs/archive/44e8ac0456ad6572b073d967d87b5d51541f69c6.jpg@400w_250h_1c.webp,1.2万
谁不想要这样一个小太阳女朋友？！(双声道)白易辰视角「双向治愈」金泰梨x南柱赫｜二十五二十一,https://www.bilibili.com/video/BV1BT4y1S7Zt?from=search&seid=17320351048388001858,2022-03-03,hhhhmsx,https://i2.hdslb.com/bfs/archive/4832c8c0d6fb45af083e50926782a6db50101d02.jpg@400w_250h_1c.webp,1.9万
花絮回血，十指紧扣、转圈圈…哈哈哈有被甜到啦【南柱赫x金泰梨】,https://www.bilibili.com/video/BV1Gq4y1a7q6?from=search&seid=17320351048388001858,2022-04-06,四耶知秋,https://i2.hdslb.com/bfs/archive/e7178921551882b344d293bb53cf445fd8787bad.jpg@400w_250h_1c.webp,4667
金泰梨｜是有些皱皱的又有些臭屁的小甜梨呀～,https://www.bilibili.com/video/BV1Aa411v7jU?from=search&seid=17320351048388001858,2022-04-12,麻辣鱼籽,https://i2.hdslb.com/bfs/archive/9ee4147949c98031910a6105a5b976c13f32f551.jpg@400w_250h_1c.webp,6025
李俊昊：我服了金泰梨这个老6了,https://www.bilibili.com/video/BV1k3411P7bX?from=search&seid=17320351048388001858,2022-05-07,凡不是林的追星日记,https://i2.hdslb.com/bfs/archive/efad0eebeb350e348430564962703b4d7ff3b06f.jpg@400w_250h_1c.webp,3.9万
你告诉我这竟然是同一个人？！我承认我被导演骗了！！,https://www.bilibili.com/video/BV1R44y1n7ih?from=search&seid=17320351048388001858,2022-02-24,可可可金-,https://i1.hdslb.com/bfs/archive/2d7f6e30c459d328570303d454e5d9614c02eb80.jpg@400w_250h_1c.webp,38.6万
姐依然能演高中高中生！金泰梨X张佳宁｜罗希度X林北星｜演技好的甜妹我真的爱疯！,https://www.bilibili.com/video/BV1FF411x7At?from=search&seid=17320351048388001858,2022-03-19,田虎本虎,https://i1.hdslb.com/bfs/archive/2a555c37b9ffa2112b9731b97f34f555ac490a96.jpg@400w_250h_1c.webp,9948
【中字】不败神话崔东勋新作《外星人》首版预告片 柳俊烈/金宇彬/金泰梨/苏志燮/廉晶雅/李荷妮,https://www.bilibili.com/video/BV1nF411T7aH?from=search&seid=17320351048388001858,2022-05-03,看韩影i,https://i2.hdslb.com/bfs/archive/afc7bfade55e6584ffdefa8f4f77406b5fc35191.jpg@400w_250h_1c.webp,3780
“心都被弄乱了，你今晚得对我负责！”啊啊啊他们终于要亲亲了啊……【南柱赫X金泰梨】,https://www.bilibili.com/video/BV1Da411b75X?from=search&seid=17320351048388001858,2022-03-13,爱种花の兔叽儿,https://i2.hdslb.com/bfs/archive/93bb24e26d0b73ef9eacd345c6051150d054bf56.jpg@400w_250h_1c.webp,3.0万
【金泰梨】金泰梨做三行诗的legend ||姐姐过分可爱啦!!!!!,https://www.bilibili.com/video/BV1QY411w7Z7?from=search&seid=17320351048388001858,2022-05-01,给我一个肉丸子,https://i0.hdslb.com/bfs/archive/58dfd8a66d1637b91ba7571fe08d6acf4642ef8a.jpg@400w_250h_1c.webp,1.2万
【金泰梨南柱赫】不好意思，我真的很想这对能成！！！！,https://www.bilibili.com/video/BV1kT4y1Y7Dq?from=search&seid=17320351048388001858,2022-04-09,四喜丸子的老婆,https://i2.hdslb.com/bfs/archive/099b9b16ab92ee93dbba66d80f344bd46cd798ca.jpg@400w_250h_1c.webp,7993
推给我干什么 推给南柱赫啊【金泰梨】,https://www.bilibili.com/video/BV1c34y1k7Go?from=search&seid=17320351048388001858,2022-02-27,月半茶事,https://i2.hdslb.com/bfs/archive/0c99e3a795eca9675c69580239e4a9cd6bea84c9.jpg@400w_250h_1c.webp,2.1万
“我不和高中生谈恋爱。”但他就是心动了，谁能不爱人间小太阳罗希度呢！◎二十五二十一,https://www.bilibili.com/video/BV1AF411E7N4?from=search&seid=17320351048388001858,2022-02-14,wlkqmno,https://i0.hdslb.com/bfs/archive/e1adc91c066a1534552287c5adb5798b0889717f.jpg@400w_250h_1c.webp,67.2万
【IU】演员金泰梨唱“抓住我的手+blueming”、作家李重赫提及、娜恩收到了lilac专辑礼物,https://www.bilibili.com/video/BV1AS4y187jr?from=search&seid=17320351048388001858,2022-05-14,一颗满月树,https://i2.hdslb.com/bfs/archive/a0feac7a81775fcb268cb8a4808921c21dbf17a4.jpg@400w_250h_1c.webp,5645
这是美女行为吧！被金泰梨对男人和女人的态度笑cry了,https://www.bilibili.com/video/BV1H34y1h74q?from=search&seid=17320351048388001858,2022-05-08,追星小浪仔,https://i1.hdslb.com/bfs/archive/46ecd21421e4f7471bdb9a917285afc716a5bba3.jpg@400w_250h_1c.webp,10.9万
金泰梨李俊昊搭档成真？百想捧杯金泰梨几度崩溃，揭开南柱赫缺席真相，难怪只有衣袖cp敢到场！,https://www.bilibili.com/video/BV1Q34y1h7BP?from=search&seid=17320351048388001858,2022-05-13,娱圈课代表,https://i0.hdslb.com/bfs/archive/bd00504bb4e05f16c9a793edb4cd3323d022264b.jpg@400w_250h_1c.webp,1.1万
【金泰梨】不愧是阿嘎西的老公，真帅,https://www.bilibili.com/video/BV1154y187q3?from=search&seid=17320351048388001858,2021-03-16,扶苏555,https://i1.hdslb.com/bfs/archive/77bcc02d579175c1b8d8466e8da5a04c59976ea0.jpg@400w_250h_1c.webp,8.1万
“我很喜欢 你的冒失”｜落魄少爷X热血少女｜“我也想守护你的梦想” ｜ 二十五二十一 南柱赫X金泰梨,https://www.bilibili.com/video/BV1GS4y1r7xm?from=search&seid=17320351048388001858,2022-02-13,没有捡到鱼,https://i2.hdslb.com/bfs/archive/f7d921f74eea0d19fc22b3bdf2bf2e4d55f23562.jpg@400w_250h_1c.webp,2.1万
二十五，二十一 | the swoon转盘任务 金泰梨|南柱赫|苞娜|崔显旭|李周明|tvN|韩剧|网飞|Netflix,https://www.bilibili.com/video/BV1P44y1n7CF?from=search&seid=17320351048388001858,2022-02-20,可宇可宙,https://i0.hdslb.com/bfs/archive/0e7146b3b0ab60208e1ce44dd309af37825d36ef.jpg@400w_250h_1c.webp,2.1万
二十五二十一两人首次合作是16年 南柱赫金泰梨,https://www.bilibili.com/video/BV1qu411i7Cs?from=search&seid=17320351048388001858,2022-04-04,hhkrys,https://i0.hdslb.com/bfs/archive/9ea8a790388cb00853a3d192413598c26064ea89.jpg@400w_250h_1c.webp,8174
爱信该以怎样的心情去送别这些她深爱的人啊…那声“崔宥镇”真的让人爆哭…呜呜呜…边剪边哭 阳光先生 | 金泰梨 演技炸裂！,https://www.bilibili.com/video/BV1z44y1g7a4?from=search&seid=6796041745896382630,2022-04-27,阿西你帮我取个名吧,https://i2.hdslb.com/bfs/archive/6aba53d033c56e38b4f792cdadefd3cb554f7c6f.jpg@400w_250h_1c.webp,1.9万
海边拥抱以这种方式出现真的没想到…含泪吃下白桃发的最后的糖【南柱赫x金泰梨】【二十五二十一】,https://www.bilibili.com/video/BV11T4y1e7wd?from=search&seid=6796041745896382630,2022-04-04,四耶知秋,https://i1.hdslb.com/bfs/archive/37c712eef9c54deca196c3e99da8547f4b80037a.jpg@400w_250h_1c.webp,5582
金泰梨整容式演技成长史 32岁演高中生毫无违和感！,https://www.bilibili.com/video/BV1qu411C71n?from=search&seid=6796041745896382630,2022-04-12,raintomorrow,https://i0.hdslb.com/bfs/archive/0b7f52d6a6c8814d3158bcbd7d3cd98f7d7e52e2.jpg@400w_250h_1c.webp,2.7万
就没有见过这样大大咧咧的女主，纯纯的搞笑女实锤，别的女主在男主身边都装腼腆，她在男主身边直接放飞自我， 跑步比自行车骑的还快。 #南柱赫 #金泰梨,https://www.bilibili.com/video/BV1ju411X7AR?from=search&seid=6796041745896382630,2022-02-21,艾弗布能,https://i1.hdslb.com/bfs/archive/5a686fd49931f6aa3fa54232577beba5fd46fc72.jpg@400w_250h_1c.webp,1.4万
韩国最经典悬疑片之一，金敏喜金泰梨《小姐》，一部让朴赞郁反复观看的电影,https://www.bilibili.com/video/BV1xJ411B7mv?from=search&seid=6796041745896382630,2019-12-04,一辰电影,https://i2.hdslb.com/bfs/archive/c126798dce92a3ac726a8db4e06a42d54f6ffcad.jpg@400w_250h_1c.webp,48.4万
